Name,Address,Latitude,Longitude
Subhash Place Police Station,"Kabirdas Marg, Shakurpur, Delhi, 110034",28.6857668,77.1496094
Nihal Vihar Police Station,"Gali Number 11, Block G, Nihal Vihar, Nangloi, Delhi, 110041",28.6824007,77.0647319
Mundka Police Station,"New, PVC Markat Rd, New PVC Market, Tikri Kalan, Delhi, 110072",28.6868661,76.9772069
Paschim Vihar Police Station,"Sisodiya marg, Paschim Vihar, Delhi",28.6695782,77.095956
Mianwali Nagar Police Station,"Mianwali Nagar, Paschim Vihar, Delhi, 110087",28.6695782,77.095956
Nangloi Police Station,"Nangloi Extension, Nangloi, Delhi, 110041",28.6824007,77.0647319
Mangol Puri Police Station,"Block D, Mangolpuri S Block, Delhi, 110083",28.6926748,77.0937042
Ranhola Police Station,"Ranhola Rd, Netaji Subhash Nagar, Ranhola, Delhi, 110041",28.6580019,77.0359234
Sultan Puri Police Station,"Police Station Rd, Block P3, Block D 3, Sultanpuri, Delhi 110086",28.6996553,77.0662843
Raj Park Police Station,"Police Station Rd, Raj Park, Sultanpuri, Delhi, 110083",28.6996553,77.0662843
Narela Police Station,"Vijay Nagar, Narela, Delhi, 110040",28.8426096,77.0918354
Narela Industrial Area Police Station,"Alipur Rd, DSIDC Industrial Area, Narela, Delhi, 110040",28.8426096,77.0918354
Alipur Police Station,"National Highway 1, Alipur, New Delhi, Delhi, 110036",28.6138954,77.2090057
Samai Pur Badli Police Station,"Jail, Outer Ring Rd, Near Rohini, Block A, Sector 19, Rohini, Delhi, 110085",28.71116095,77.13553174290247
Bawana Police Station,"Auchandi Bawana Rd, Bawana, Delhi, 110039",28.801986,77.0322749
Shahbad Dairy Police Station,"Prahladpur Bangar, Sector 31, Rohini, New Delhi, Delhi, 110042",28.71301205,77.1264428658497
Swaroop Nagar Police Station,"Shiv Mandir Rd, Block D, Swaroop Nagar, Bhalswa, Delhi, 110042",28.7512224,77.15545998377979
Bhalswa Dairy Police Station,"Bhalswa Dairy, Bhalswa, Delhi, 110042",28.7454994,77.1588277
South Rohini Police Station,"Yogashram Marg, Near Mangalam Place, Institutional Area, Sector 3, Rohini, Delhi, 110085",28.7034668,77.10647837243425
Vijay Vihar Police Station,"Pocket A, Sector 1, Rohini, Delhi, 110085",28.7028468,77.09476401067893
North Rohini Police Station,"Shiva Rd, Sector 7, Rohini, Delhi, 110085",28.7076417,77.11724737239948
Prem Nagar Police Station,"Mubarakpur X-Ing, Phase I, Baljit Vihar, Delhi, 110086",28.6723046,77.10842765781518
Begampur Police Station,"Dahiya Badshah Marg, Rohini Extension, Sector 23, Rohini, Delhi, 110086",28.72122875,77.08000848524587
Budh Vihar Police Station,"Rohini Institutional Area, Sector 5, Rohini, Delhi, 110085",28.7183155,77.10768807299988
K.N.Katju Marg Police Station,"Dr KN Katju Marg, Block G-3, Sector 16, Rohini, Delhi, 110085",28.737976,77.12353555425605
Prashant Vihar Police Station,"Shaheed Colonel Guruveer Singh Sarna Marg, Rajapur, Sector 9, Rohini, Delhi, 110085",28.7148859,77.12358281294891
Aman Vihar Police Station,"Pocket 3, Police Station Road, Sector 22, Rohini, Delhi, 110086",28.718749449999997,77.06094624515045
Kanjhwala Police Station,"676, Major District Road 138, Kanjhawala Industrial Area, Kanjhawala, Delhi, 110081",28.7358173,77.0043151
Mansarovar Park Police Station,"DDA Market, Mansarovar Park, Shahdara, Delhi, 110032",28.675385,77.3008678
Anand Vihar Police Station,"Maharaja Surajmal Marg, Arjun Gali, Karkardooma, Shahdara, Delhi, 110032",28.649310749999998,77.29629181645885
Seema Puri Police Station,"Zulfe Bengal, Dilshad Garden, Delhi, 110095",28.6758864,77.32144601267456
Gandhi Nagar Police Station,"Gandhi Nagar Main Rd, Gandhi Nagar, Seelampur, Shahdara, Delhi, 110031",28.6698165,77.2668137
GTB Enclave Police Station,"Taharpur Village, Dilshad Garden, Delhi, 110093",28.6758864,77.32144601267456
Krishna Nagar Police Station,"B-81, Gali Number 8, Kanti Nagar South, Seelampur, Shahdara, Delhi, 110031",28.6698165,77.2668137
Shahadra Police Station,"GT Road, Dwarkapuri, Shahdara, Delhi, 110032",28.6753826,77.28096608744889
Geeta Colony Police Station,"3/164, Patparganj Rd, Jheel Khurenja, Geeta Colony, Delhi, 110031",28.6510892,77.2749996
Farsh Bazar Police Station,"Sunder Park, Shahdara, Delhi, 110032",28.6734298,77.2898858
Vivek Vihar Police Station,"Rd Number 71, Block E, Jhilmil Colony, Delhi, 110095",28.6698142,77.3072827
Jagat Puri Police Station,"538/A, East Laxmi Market, Block C, Brij Puri, Krishna Nagar, Delhi, 110051",28.6578127,77.2901199
Ambedkar Nagar Police Station,"Ambedkar Nagar, New Delhi, Delhi, 110062",28.6138954,77.2090057
Hauz Khas Police Station,"Police Station Colony, Block A, Mayfair Gardens, Hauz Khas, New Delhi, Delhi, 110016",28.5508,77.2060103
Greater Kailash Police Station,"Greater Kailash Enclave I, Greater Kailash, New Delhi, Delhi, 110048",28.6138954,77.2090057
Mehrauli Police Station,"Kalka Das Marg, Ward No 1, Mehrauli, New Delhi, Delhi, 110030",28.491562,77.1434808
C. R. Park Police Station,"A69, CR Park Main Rd, Block I, Chittaranjan, New Delhi, Delhi, 110019",28.6138954,77.2090057
Lodhi Colony Police Station,"Fifth Ave Rd, Institutional Area, Lodi Colony, New Delhi, Delhi, 110003",28.59070215,77.22092057315884
Sangam Vihar Police Station,"Mangal Bazaar Rd, Block D, Sangam Vihar, New Delhi, Delhi, 110080",28.5726765,77.1733639
Neb Sarai Police Station,"Sector 5, Sainik Farm, New Delhi, Delhi, 110062",28.6138954,77.2090057
Kotla Mubarkpur Police Station,"Kotla Mubarakpur, Sewa Nagar, New Delhi, Delhi, 110003",28.6138954,77.2090057
Fatehpur Beri Police Station,"Police Station Rd, Junapur Village, Juanapur, New Delhi, Delhi, 110074",28.6138954,77.2090057
Saket Police Station,"Court Chowk Rd, Near Select CITYWALK, Saket District Centre, Sector 6, Pushp Vihar, New Delhi, Delhi, 110017",28.6138954,77.2090057
Defence Colony Police Station,"Defence Colony, Andrews Ganj, New Delhi, Delhi, 110049",28.6138954,77.2090057
Malviya Nagar Police Station,"Rashid Rd, near Metro Station, Block A, Shivalik Colony, Malviya Nagar, Delhi, 110017",28.5290666,77.2048545
Tigri Police Station,"Block C, Devli, Sangam Vihar, New Delhi, Delhi, 110080",28.5726765,77.1733639
Maidan Garhi Police Station,"Maidan Garhi, New Delhi, Delhi, 110030",28.6138954,77.2090057
Kalkaji Police Station,"Block 1, Kalkaji Extension, Kalkaji, New Delhi, Delhi, 110019",28.5435234,77.247977
