Name,Location
Kapshera Police Station,"D Block, 324, Old Delhi Gurgaon Rd, D Block, Kapas Hera Extension, Kapas Hera Estate, New Delhi, Delhi, 110037"
R. K. Puram Police Station,"872, K Block, Police Colony, Sector 12, Rama Krishna Puram, New Delhi, Delhi, 110022"
Palam Village Police Station,"WZ01, Palam Village Rd, Puran Nagar, Raj Nagar I, New Delhi, Delhi, 110045"
Vasant Vihar Police Station,"Nelson Mandela Marg, Basant Lok, Vasant Vihar, New Delhi, Delhi, 110045"
Vasant Kunj South Police Station,"Nelson Mandela Marg, Pocket 4, Sector C, Vasant Kunj, New Delhi, Delhi, 110070"
South Campus Police Station,"K Block, Police Colony, Sector 12, Rama Krishna Puram, New Delhi, Delhi, 110022"
Kishan Garh Police Station,"C-22/23, Udyog Sadan, Qutab Institutional Area, New Delhi, Delhi, 110016"
Sarojini Nagar Police Station,"Shri Vinayak Mandir Marg, Block AB, Sarojini Nagar, New Delhi, Delhi, 110023"
Safdarjung Enclave Police Station,"Police Headquarters, M.S.O. Building, Sarojini Nagar, New Delhi, Delhi, 110023"
Inderpuri Police Station,"Dev Prakash Shastri Marg, Opp. Pusa, Budh Nagar, Inder Puri, Delhi, 110012"
Moti Nagar Police Station,"near Petrol Pump, Phase 3, Block P, New Moti Nagar, Moti Nagar, Delhi, 110015"
Naraina Police Station,"Munshi Ram Gupta Marg,Naraina Industrial Area Phase I, Naraina, Delhi, 110028"
Punjabi Bagh Police Station,"Block S, Shivaji Park, Punjabi Bagh, Delhi, 110026"
Rajouri Garden Police Station,"Vishal Enclave, Vishal Cinema Rd, Shivaji Place, Rajouri Garden, Delhi, 110027"
Tilak Nagar Police Station,"Najafgarh Rd, Meenakshi Garden, Ashok Nagar, Delhi, 110027"
Kirti Nagar Police Station,"N-56,  Kirti Nagar Main Rd, Mansarover Garden, Delhi, 110015"
Hari Nagar Police Station,"DDA Market, Jail Road, Janakpuri, Delhi, 110058"
Vikaspuri Police Station,"Guru Virjanand Marg, A-Block, Vikaspuri, Delhi, 110018"
Mayapuri Police Station,"B-88-5, 86-5, Satguru Ram Singh Rd,  Mayapuri Industrial Area Phase I, Mayapuri, Delhi, 110064"
Khyala Police Station,"A Block Rd, NEAR 830, J. J. Colony, Khayala, Vishnu Garden, Delhi, 110027"
Janak Puri Police Station,"8, Janakpuri District Center, Janakpuri, Delhi, 110058"
